id,value
Antioquia. Los demás cafés sin tostar- sin descafeinar.Singapur,220
Antioquia. Los demás cafés sin tostar- sin descafeinar.Siria- República Árabe,807
Antioquia. Los demás cafés sin tostar- sin descafeinar.Sudáfrica,232
Antioquia. Los demás cafés sin tostar- sin descafeinar.Suecia,12913
Antioquia. Los demás cafés sin tostar- sin descafeinar.Suiza,40
Antioquia. Los demás cafés sin tostar- sin descafeinar.Tailandia,1
Antioquia. Los demás cafés sin tostar- sin descafeinar.Taiwán- Provincia de China,2887
Antioquia. Los demás cafés sin tostar- sin descafeinar.Turquía,95
Antioquia. Los demás cafés sin tostar- sin descafeinar.Ucrania,38
Antioquia. Los demás extractos- esencias y concentrados de café,32291
Antioquia. Los demás extractos- esencias y concentrados de café.Alemania,672
Antioquia. Los demás extractos- esencias y concentrados de café.Antigua y Barbuda,6
Antioquia. Los demás extractos- esencias y concentrados de café.Antillas Holandesas,151
Antioquia. Los demás extractos- esencias y concentrados de café.Argentina,13
Antioquia. Los demás extractos- esencias y concentrados de café.Aruba,127
Antioquia. Los demás extractos- esencias y concentrados de café.Australia,409
Antioquia. Los demás extractos- esencias y concentrados de café.Barbados,40
Antioquia. Los demás extractos- esencias y concentrados de café.Bélgica,99
Antioquia. Los demás extractos- esencias y concentrados de café.Belice,13
Antioquia. Los demás extractos- esencias y concentrados de café.Bolivia,110
Antioquia. Los demás extractos- esencias y concentrados de café.Brasil,39
Antioquia. Los demás extractos- esencias y concentrados de café.Caimán- Islas,0
Antioquia. Los demás extractos- esencias y concentrados de café.Canadá,207
Antioquia. Los demás extractos- esencias y concentrados de café.Chile,520
Antioquia. Los demás extractos- esencias y concentrados de café.China,113
Antioquia. Los demás extractos- esencias y concentrados de café.Corea,3265
Antioquia. Los demás extractos- esencias y concentrados de café.Costa Rica,17
Antioquia. Los demás extractos- esencias y concentrados de café.Cuba,16
Antioquia. Los demás extractos- esencias y concentrados de café.Curazao,87
Antioquia. Los demás extractos- esencias y concentrados de café.Dinamarca,43
Antioquia. Los demás extractos- esencias y concentrados de café.Dominica,32
Antioquia. Los demás extractos- esencias y concentrados de café.Ecuador,2437
Antioquia. Los demás extractos- esencias y concentrados de café.El Salvador,78
Antioquia. Los demás extractos- esencias y concentrados de café.Emiratos Árabes Unidos,1
Antioquia. Los demás extractos- esencias y concentrados de café.España,460
Antioquia. Los demás extractos- esencias y concentrados de café.Estados Unidos,12938
Antioquia. Los demás extractos- esencias y concentrados de café.Filipinas,2
Antioquia. Los demás extractos- esencias y concentrados de café.Francia,280
Antioquia. Los demás extractos- esencias y concentrados de café.Granada,18
Antioquia. Los demás extractos- esencias y concentrados de café.Guatemala,112
Antioquia. Los demás extractos- esencias y concentrados de café.Guyana,71
Antioquia. Los demás extractos- esencias y concentrados de café.Haití,0
Antioquia. Los demás extractos- esencias y concentrados de café.Honduras,14
Antioquia. Los demás extractos- esencias y concentrados de café.Hong Kong,106
Antioquia. Los demás extractos- esencias y concentrados de café.India,7
Antioquia. Los demás extractos- esencias y concentrados de café.Indonesia,0
Antioquia. Los demás extractos- esencias y concentrados de café.Italia,82
Antioquia. Los demás extractos- esencias y concentrados de café.Japón,3838
Antioquia. Los demás extractos- esencias y concentrados de café.Malasia,1231
Antioquia. Los demás extractos- esencias y concentrados de café.Malta,0
Antioquia. Los demás extractos- esencias y concentrados de café.México,604
Antioquia. Los demás extractos- esencias y concentrados de café.Nicaragua,4
Antioquia. Los demás extractos- esencias y concentrados de café.Nigeria,3
Antioquia. Los demás extractos- esencias y concentrados de café.Nueva Zelandia,4
Antioquia. Los demás extractos- esencias y concentrados de café.Países Bajos,346
Antioquia. Los demás extractos- esencias y concentrados de café.Panamá,168
Antioquia. Los demás extractos- esencias y concentrados de café.Paraguay,141
Antioquia. Los demás extractos- esencias y concentrados de café.Perú,380
Antioquia. Los demás extractos- esencias y concentrados de café.Polonia,2
Antioquia. Los demás extractos- esencias y concentrados de café.Portugal,0
Antioquia. Los demás extractos- esencias y concentrados de café.Puerto Rico,104
Antioquia. Los demás extractos- esencias y concentrados de café.Reino Unido,1674
Antioquia. Los demás extractos- esencias y concentrados de café.República Dominicana,12
Antioquia. Los demás extractos- esencias y concentrados de café.San Cristóbal y Nieves,1
Antioquia. Los demás extractos- esencias y concentrados de café.San Vicente y las Granadinas,4
Antioquia. Los demás extractos- esencias y concentrados de café.Santa Lucia,25
Antioquia. Los demás extractos- esencias y concentrados de café.Singapur,286
Antioquia. Los demás extractos- esencias y concentrados de café.Sudáfrica,12
Antioquia. Los demás extractos- esencias y concentrados de café.Suecia,57
Antioquia. Los demás extractos- esencias y concentrados de café.Suiza,55
Antioquia. Los demás extractos- esencias y concentrados de café.Surinam,121
Antioquia. Los demás extractos- esencias y concentrados de café.Tailandia,2
Antioquia. Los demás extractos- esencias y concentrados de café.Taiwán- Provincia de China,43
Antioquia. Los demás extractos- esencias y concentrados de café.Territorio Británico del Océano indico,1
Antioquia. Los demás extractos- esencias y concentrados de café.Trinidad y Tobago,225
Antioquia. Los demás extractos- esencias y concentrados de café.Turquía,1
Antioquia. Los demás extractos- esencias y concentrados de café.Uruguay,120
Antioquia. Los demás extractos- esencias y concentrados de café.Venezuela,240
Antioquia. Preparaciones a base de extractos- esencias o concentrados o a base de café,16214
